Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_1,64,89,0
Machine_9,89,94,0
Machine_3,64,111,0
Machine_4,71,142,0
Machine_1,75,164,0
Machine_9,85,116,0
Machine_8,85,105,1
Machine_2,80,89,0
Machine_8,98,147,1
Machine_7,95,89,0
Machine_6,92,140,1
Machine_1,89,82,0
Machine_7,96,55,0
Machine_10,82,196,0
Machine_7,69,129,0
Machine_9,64,141,0
Machine_1,95,146,1
Machine_2,93,108,0
Machine_9,90,108,0
Machine_9,69,97,1
Machine_6,78,62,0
Machine_6,91,156,0
Machine_4,60,94,0
Machine_4,64,138,0
Machine_5,63,149,0
Machine_3,75,56,0
Machine_1,83,182,1
Machine_1,75,94,0
Machine_7,61,107,0
Machine_1,87,80,0
Machine_1,91,72,0
Machine_3,86,187,0
Machine_10,79,156,0
Machine_4,83,88,0
Machine_4,71,131,0
Machine_2,94,149,1
Machine_1,92,51,0
Machine_3,92,126,0
Machine_4,96,61,0
Machine_3,71,88,0
Machine_8,62,62,0
Machine_10,60,95,0
Machine_1,92,162,1
Machine_2,99,66,0
Machine_7,69,153,1
Machine_4,88,147,1
Machine_8,72,137,0
Machine_3,71,158,0
Machine_6,90,119,0
Machine_9,61,123,0
Machine_1,94,112,0
Machine_1,82,109,0
Machine_8,76,128,0
Machine_3,85,86,0
Machine_5,67,71,0
Machine_1,88,197,1
Machine_5,85,145,1
Machine_6,69,117,1
Machine_8,85,66,0
Machine_3,93,61,0
Machine_3,100,199,1
Machine_10,66,194,0
Machine_9,63,187,0
Machine_4,70,167,0
Machine_4,88,71,0
Machine_7,95,169,1
Machine_2,84,99,1
Machine_8,80,63,0
Machine_6,95,78,0
Machine_3,69,174,0
Machine_9,96,56,0
Machine_5,68,78,0
Machine_8,83,188,0
Machine_7,94,82,1
Machine_8,94,183,1
Machine_7,95,160,0
Machine_3,77,128,0
Machine_2,98,107,0
Machine_7,91,75,0
Machine_3,83,78,1
Machine_3,82,53,0
Machine_2,91,148,1
Machine_4,96,190,1
Machine_8,71,88,0
Machine_1,72,64,0
Machine_1,82,168,1
Machine_5,84,78,0
Machine_5,94,124,0
Machine_1,100,165,0
Machine_6,89,81,0
Machine_1,76,179,1
Machine_5,79,133,0
Machine_9,84,71,0
Machine_5,81,76,0
Machine_6,72,130,1
Machine_8,78,175,0
Machine_1,95,141,1
Machine_2,71,70,0
Machine_9,100,96,0
Machine_3,78,150,0
Machine_6,71,133,0
Machine_5,68,55,0
Machine_2,66,196,0
Machine_7,87,180,0
Machine_4,73,50,0
Machine_1,90,107,1
Machine_4,78,173,1
Machine_6,75,64,0
Machine_7,64,113,0
Machine_7,94,74,0
Machine_7,71,73,0
Machine_3,84,61,0
Machine_6,80,67,0
Machine_8,95,64,0
Machine_4,82,76,0
Machine_8,75,121,1
Machine_2,98,109,0
Machine_10,98,194,1
Machine_9,73,142,0
Machine_9,90,102,1
Machine_8,64,57,0
Machine_10,94,128,0
Machine_10,82,76,0
Machine_1,88,99,0
Machine_2,70,180,0
Machine_6,77,142,1
Machine_10,71,73,0
Machine_5,68,109,0
Machine_9,69,171,0
Machine_5,76,180,1
Machine_2,97,197,1
Machine_10,66,95,1
Machine_4,72,64,0
Machine_9,99,66,0
Machine_1,68,175,0
Machine_1,86,133,0
Machine_7,61,58,0
Machine_3,64,112,0
Machine_10,88,166,1
Machine_2,96,179,0
Machine_9,97,137,1
Machine_3,78,121,1
Machine_2,67,188,0
Machine_8,60,113,0
Machine_10,81,121,0
Machine_6,76,70,0
Machine_6,66,67,0
Machine_10,84,113,0
Machine_7,63,131,0
Machine_7,95,159,1
Machine_6,65,144,0
Machine_4,90,81,1
Machine_9,78,60,0
Machine_6,98,94,1
Machine_4,86,82,0
Machine_3,69,151,0
Machine_4,85,185,1
Machine_3,78,60,0
Machine_2,98,137,0
Machine_5,62,90,0
Machine_2,72,194,0
Machine_6,87,125,0
Machine_3,79,170,0
Machine_6,87,95,1
Machine_10,67,129,0
Machine_9,100,103,0
Machine_1,98,135,0
Machine_6,60,141,0
Machine_9,62,197,0
Machine_4,72,146,0
Machine_2,87,51,0
Machine_4,84,82,1
Machine_1,92,126,0
Machine_3,97,165,0
Machine_10,65,199,0
Machine_9,91,152,0
Machine_10,80,152,1
Machine_5,75,139,1
Machine_6,80,171,0
Machine_3,70,192,1
Machine_5,96,155,0
Machine_8,95,168,1
Machine_6,94,98,1
Machine_4,78,153,0
Machine_2,79,110,1
Machine_9,77,172,0
Machine_1,100,183,1
Machine_1,73,58,0
Machine_4,74,55,0
Machine_7,90,122,0
Machine_1,60,152,0
Machine_9,62,90,0
Machine_4,75,163,0
Machine_3,82,57,0
Machine_1,70,121,0
Machine_10,71,141,0
Machine_4,69,111,0
Machine_9,91,133,0
Machine_10,75,111,1
Machine_6,67,160,0
Machine_6,97,176,1
Machine_1,71,56,0
Machine_10,83,133,1
Machine_2,87,181,1
Machine_6,67,183,0
Machine_2,87,107,0
Machine_3,95,71,0
Machine_4,85,176,1
Machine_5,67,52,0
Machine_9,87,176,0
Machine_4,87,90,1
Machine_9,96,155,1
Machine_10,100,63,0
Machine_3,95,61,0
Machine_8,86,136,0
Machine_1,76,61,0
Machine_9,68,190,0
Machine_9,92,74,1
Machine_10,79,94,0
Machine_2,72,171,1
Machine_4,87,196,0
Machine_8,88,104,0
Machine_7,72,149,0
Machine_1,94,185,1
Machine_5,65,168,0
Machine_7,77,102,0
Machine_4,64,81,0
Machine_1,84,100,0
Machine_9,61,93,0
Machine_5,69,131,0
Machine_2,89,195,1
Machine_8,64,199,0
Machine_2,92,86,0
Machine_3,60,145,0
Machine_10,77,105,0
Machine_1,91,154,1
Machine_2,70,108,0
Machine_7,80,180,0
Machine_10,85,84,0
Machine_2,84,142,1
Machine_6,81,146,1
Machine_3,86,184,0
Machine_4,72,125,0
Machine_8,92,98,0
Machine_3,93,143,0
Machine_10,100,73,0
Machine_6,94,197,1
Machine_1,60,86,0
Machine_7,80,53,0
Machine_8,65,157,0
Machine_8,87,175,1
Machine_3,76,69,0
Machine_10,64,99,1
Machine_1,90,145,0
Machine_9,64,154,0
Machine_6,97,166,1
Machine_9,62,147,0
Machine_7,82,115,0
Machine_1,96,128,0
Machine_1,96,55,0
Machine_6,69,88,0
Machine_5,69,164,0
Machine_9,78,174,0
Machine_2,76,61,0
Machine_8,80,180,0
Machine_5,73,67,0
Machine_2,68,89,0
Machine_10,60,70,0
Machine_6,72,192,0
Machine_10,63,148,0
Machine_8,60,75,0
Machine_4,99,57,0
Machine_2,91,149,1
Machine_5,93,136,1
Machine_2,87,91,0
Machine_2,90,63,0
Machine_6,67,127,0
Machine_10,98,51,0
Machine_9,85,168,0
Machine_4,93,86,0
Machine_6,62,118,1
Machine_7,71,90,0
Machine_6,60,111,0
Machine_8,64,109,0
Machine_4,89,174,1
Machine_1,89,160,1
Machine_7,76,63,0
Machine_3,82,133,1
Machine_6,74,179,0
Machine_2,96,119,0
Machine_9,80,194,1
Machine_1,73,172,1
Machine_6,61,138,0
Machine_6,70,77,0
Machine_5,98,115,1
Machine_5,97,54,0
Machine_1,93,94,0
Machine_10,97,200,1
Machine_5,93,96,0
Machine_2,77,80,0
Machine_7,89,188,1
Machine_3,74,59,0
Machine_4,86,167,1
Machine_3,93,63,0
Machine_3,97,129,0
Machine_4,92,142,0
Machine_5,83,59,0
Machine_1,74,125,0
Machine_4,89,143,0
Machine_8,76,154,0
Machine_10,64,50,0
Machine_7,88,182,0
Machine_9,63,69,0
Machine_5,69,57,0
Machine_10,76,50,0
Machine_4,69,106,0
Machine_8,76,113,0
Machine_9,79,167,1
Machine_7,83,77,0
Machine_7,64,170,0
Machine_5,93,156,0
Machine_4,65,98,0
Machine_10,61,169,0
Machine_1,72,93,0
Machine_10,70,105,0
Machine_10,82,160,0
Machine_7,75,183,0
Machine_1,90,157,1
Machine_1,70,197,0
Machine_5,75,163,0
Machine_9,67,127,0
Machine_6,63,179,0
Machine_3,99,86,0
Machine_3,63,69,0
Machine_7,84,75,0
Machine_6,62,78,0
Machine_9,91,50,0
Machine_6,62,168,0
Machine_5,86,84,0
Machine_10,88,108,0
Machine_7,91,118,1
Machine_1,78,61,0
Machine_7,80,69,0
Machine_3,64,92,0
Machine_9,77,175,0
Machine_6,87,99,1
Machine_9,81,78,0
Machine_5,80,88,0
Machine_7,65,200,1
Machine_4,60,87,0
Machine_7,64,133,0
Machine_1,100,200,1
Machine_7,71,177,0
Machine_8,85,175,0
Machine_5,93,94,0
Machine_2,73,101,0
Machine_5,85,129,0
Machine_6,86,173,1
Machine_2,68,168,0
Machine_6,85,57,0
Machine_6,81,134,1
Machine_1,89,178,1
Machine_1,76,57,0
Machine_10,85,145,0
Machine_3,95,151,0
Machine_10,60,54,0
Machine_10,67,135,0
Machine_3,94,83,0
Machine_4,74,104,0
Machine_2,81,168,0
Machine_9,73,163,0
Machine_10,85,194,0
Machine_7,87,75,0
Machine_7,82,185,0
Machine_6,73,96,1
Machine_3,83,162,0
Machine_6,61,125,0
Machine_8,85,121,0
Machine_8,73,138,0
Machine_9,66,95,0
Machine_1,62,82,0
Machine_1,82,50,0
Machine_3,77,196,0
Machine_3,97,80,0
Machine_10,94,191,1
Machine_8,74,102,0
Machine_10,84,97,0
Machine_1,96,118,0
Machine_2,87,154,1
Machine_2,69,139,0
Machine_3,98,112,0
Machine_6,76,122,1
Machine_1,98,138,1
Machine_2,81,62,0
Machine_1,85,122,0
Machine_5,84,126,1
Machine_7,76,117,0
Machine_8,72,147,1
Machine_10,79,174,1
Machine_1,84,151,0
Machine_7,63,181,1
Machine_5,69,151,0
Machine_10,62,68,0
Machine_1,100,131,1
Machine_3,77,190,0
Machine_7,95,72,0
Machine_10,81,132,0
Machine_1,93,158,1
Machine_7,67,124,0
Machine_5,99,178,0
Machine_1,78,137,0
Machine_1,100,103,0
Machine_1,96,138,1
Machine_9,65,192,0
Machine_3,85,114,0
Machine_5,93,125,0
Machine_10,65,192,0
Machine_9,96,198,0
Machine_6,92,196,1
Machine_9,81,109,0
Machine_8,80,142,0
Machine_8,65,98,0
Machine_1,65,84,0
Machine_9,63,151,0
Machine_6,89,60,0
Machine_9,70,148,0
Machine_3,89,159,0
Machine_3,90,123,1
Machine_6,83,58,0
Machine_9,68,52,0
Machine_7,62,134,0
Machine_3,90,75,0
Machine_3,99,121,0
Machine_2,96,97,0
Machine_9,95,166,1
Machine_3,83,61,0
Machine_5,90,182,1
Machine_9,65,97,1
Machine_8,61,86,0
Machine_2,79,93,0
Machine_3,87,64,0
Machine_2,70,92,0
Machine_8,63,136,0
Machine_6,74,119,0
Machine_6,65,95,0
Machine_9,89,157,0
Machine_8,97,172,1
Machine_4,61,70,0
Machine_4,74,200,1
Machine_9,70,156,0
Machine_1,67,129,0
Machine_2,85,96,1
Machine_2,64,166,0
Machine_6,65,173,0
Machine_4,85,192,1
Machine_10,63,74,0
Machine_3,78,85,0
Machine_3,79,100,0
Machine_3,92,64,0
Machine_6,79,117,0
Machine_8,71,70,0
Machine_7,60,190,0
Machine_4,85,68,0
Machine_4,73,83,0
Machine_10,97,127,1
Machine_2,96,174,1
Machine_1,70,166,1
Machine_9,95,101,1
Machine_2,72,76,0
Machine_8,62,84,0
Machine_9,92,185,1
Machine_4,65,193,0
Machine_8,69,155,1
Machine_9,64,195,0
Machine_10,82,51,0
Machine_10,69,126,1
Machine_5,61,181,0
Machine_7,72,139,1
Machine_10,99,138,1
Machine_4,61,143,0
Machine_1,79,56,0
Machine_3,60,144,0
Machine_5,96,157,1
Machine_3,68,123,0
Machine_7,76,88,0
Machine_9,68,190,0
Machine_6,70,120,0
Machine_10,74,105,0
Machine_1,83,91,0
Machine_7,97,85,0
Machine_3,94,133,1
Machine_5,89,167,1
Machine_10,90,56,0
Machine_4,64,103,0
Machine_10,73,178,0
Machine_5,70,169,1
Machine_5,68,155,0
Machine_6,93,96,1
Machine_10,71,172,0
Machine_10,94,190,1
Machine_6,94,168,0
Machine_8,60,199,0
Machine_8,99,167,1
Machine_9,81,70,0
Machine_8,88,186,0
Machine_2,67,75,0
Machine_10,70,58,0
Machine_1,100,64,0
Machine_10,96,59,0
Machine_2,73,171,0
Machine_2,89,170,1
Machine_3,94,174,1
Machine_10,80,121,0
Machine_7,96,98,0
Machine_2,64,140,0
Machine_1,78,86,0
Machine_6,73,117,0
Machine_9,85,99,0
Machine_3,63,68,0
Machine_6,84,149,1
Machine_3,84,109,0
Machine_1,77,138,1
Machine_5,99,195,1
Machine_10,67,196,0
Machine_4,98,118,0
Machine_7,99,98,0
Machine_6,73,157,1
Machine_10,91,168,0
Machine_7,97,198,1
Machine_5,92,199,1
Machine_4,82,86,0
Machine_7,74,192,0
Machine_7,92,60,0
Machine_6,84,187,1
Machine_8,76,127,1
Machine_4,92,126,1
Machine_10,61,51,0
Machine_5,73,113,1
Machine_4,99,84,0
Machine_1,99,56,0
Machine_8,98,134,1
Machine_1,65,195,0
Machine_5,65,116,1
Machine_6,62,91,0
Machine_6,66,167,0
Machine_5,67,174,0
Machine_3,74,73,0
Machine_5,88,95,1
Machine_8,92,68,0
Machine_2,89,117,0
Machine_6,98,151,1
Machine_9,86,91,0
Machine_8,95,81,0
Machine_8,88,158,0
Machine_8,97,85,0
Machine_7,92,146,0
Machine_8,96,180,0
Machine_6,86,122,1
Machine_2,92,185,1
Machine_2,63,146,0
Machine_8,81,172,0
Machine_1,61,119,0
Machine_6,69,62,0
Machine_6,64,98,0
Machine_4,69,109,0
Machine_10,92,179,1
Machine_3,97,54,0
Machine_3,72,76,0
Machine_1,90,198,0
Machine_3,95,57,0
Machine_4,83,99,0
Machine_5,74,116,0
Machine_3,88,93,0
Machine_6,67,174,0
Machine_5,64,107,0
Machine_3,88,52,0
Machine_6,63,135,0
Machine_6,71,119,0
Machine_8,61,179,0
Machine_2,86,51,0
Machine_1,90,151,1
Machine_4,95,84,0
Machine_7,95,147,1
Machine_10,85,79,0
Machine_3,86,165,1
Machine_3,64,57,0
Machine_5,79,199,1
Machine_5,70,93,0
Machine_10,69,85,0
Machine_3,99,126,1
Machine_9,97,80,0
Machine_4,65,96,1
Machine_3,67,104,0
Machine_2,82,155,1
